Rainfall - (MM), Year,Month, Country, ISO3
256.752,1923,8, India, IND
162.491,1923,9, India, IND
48.4088,1923,10, India, IND
12.0387,1923,11, India, IND
12.8408,1923,12, India, IND
18.1356,1924,1, India, IND
11.6529,1924,2, India, IND
6.24819,1924,3, India, IND
21.4452,1924,4, India, IND
45.9112,1924,5, India, IND
114.692,1924,6, India, IND
273.13,1924,7, India, IND
257.126,1924,8, India, IND
235.177,1924,9, India, IND
57.3808,1924,10, India, IND
42.2092,1924,11, India, IND
12.3112,1924,12, India, IND
6.42135,1925,1, India, IND
3.78503,1925,2, India, IND
8.64044,1925,3, India, IND
41.5269,1925,4, India, IND
71.4845,1925,5, India, IND
177.732,1925,6, India, IND
299.284,1925,7, India, IND
226.346,1925,8, India, IND
117.421,1925,9, India, IND
58.2574,1925,10, India, IND
42.2088,1925,11, India, IND
14.7289,1925,12, India, IND
19.4017,1926,1, India, IND
4.31226,1926,2, India, IND
38.3161,1926,3, India, IND
30.0005,1926,4, India, IND
52.362,1926,5, India, IND
79.0893,1926,6, India, IND
294.459,1926,7, India, IND
307.725,1926,8, India, IND
183.713,1926,9, India, IND
49.3718,1926,10, India, IND
11.2627,1926,11, India, IND
6.27335,1926,12, India, IND
8.72978,1927,1, India, IND
22.1526,1927,2, India, IND
21.2959,1927,3, India, IND
17.3267,1927,4, India, IND
42.1845,1927,5, India, IND
172.106,1927,6, India, IND
302.345,1927,7, India, IND
221.426,1927,8, India, IND
139.697,1927,9, India, IND
57.7334,1927,10, India, IND
51.8923,1927,11, India, IND
8.30947,1927,12, India, IND
12.0149,1928,1, India, IND
25.4255,1928,2, India, IND
8.98622,1928,3, India, IND
29.5169,1928,4, India, IND
41.6646,1928,5, India, IND
132.999,1928,6, India, IND
273.175,1928,7, India, IND
194.175,1928,8, India, IND
142.344,1928,9, India, IND
108.14,1928,10, India, IND
18.7665,1928,11, India, IND
19.5763,1928,12, India, IND
16.5218,1929,1, India, IND
12.1375,1929,2, India, IND
10.2493,1929,3, India, IND
39.5175,1929,4, India, IND
46.6069,1929,5, India, IND
160.065,1929,6, India, IND
275.401,1929,7, India, IND
211.692,1929,8, India, IND
129.865,1929,9, India, IND
80.2598,1929,10, India, IND
17.9209,1929,11, India, IND
20.5625,1929,12, India, IND
11.6844,1930,1, India, IND
12.6775,1930,2, India, IND
13.4582,1930,3, India, IND
25.0082,1930,4, India, IND
50.9673,1930,5, India, IND
149.125,1930,6, India, IND
276.721,1930,7, India, IND
166.471,1930,8, India, IND
154.612,1930,9, India, IND
88.7088,1930,10, India, IND
42.1203,1930,11, India, IND
10.2072,1930,12, India, IND
5.39645,1931,1, India, IND
17.9593,1931,2, India, IND
13.4132,1931,3, India, IND
32.281,1931,4, India, IND
42.2983,1931,5, India, IND
105.432,1931,6, India, IND
289.662,1931,7, India, IND
257.8,1931,8, India, IND
194.793,1931,9, India, IND
100.728,1931,10, India, IND
41.8153,1931,11, India, IND
17.8365,1931,12, India, IND
3.83483,1932,1, India, IND
13.6426,1932,2, India, IND
12.5714,1932,3, India, IND
31.0622,1932,4, India, IND
58.8066,1932,5, India, IND
122.417,1932,6, India, IND
311.214,1932,7, India, IND
212.047,1932,8, India, IND
161.208,1932,9, India, IND
64.3597,1932,10, India, IND
