Year,Avg Rainfall - (MM),Country
2009,44.052138333333325,China
2010,51.07095000000001,China
2011,43.233235,China
2012,51.10875000000001,China
2013,49.52634083333333,China
2014,45.8322075,China
2015,49.88041666666666,China
2016,55.05395000000001,China
1901,78.03557916666666,India
1902,81.35331833333335,India
1903,91.4384475,India
1904,77.42615666666667,India
1905,75.56465833333333,India
1906,87.62570833333335,India
1907,78.58089999999999,India
1908,88.13270666666669,India
1909,91.05391999999999,India
1910,96.3122575,India
1911,80.95164000000001,India
1912,82.814995,India
1913,86.73838833333333,India
1914,92.202455,India
1915,92.43959416666665,India
1916,101.24388249999997,India
1917,108.06713666666666,India
1918,68.3001625,India
1919,94.845325,India
1920,71.46130916666667,India
1921,86.89188750000001,India
1922,90.47316083333334,India
1923,82.80456916666667,India
1924,91.28494083333334,India
1925,88.98635999999999,India
1926,89.69055916666666,India
1927,88.76655416666665,India
1928,83.89865999999999,India
1929,85.06660000000001,India
1930,83.480075,India
1931,93.2845875,India
1932,87.42357249999999,India
1933,103.922015,India
1934,92.23096416666665,India
1935,84.3118425,India
1936,97.31695250000001,India
1937,87.790825,India
1938,92.21120166666668,India
1939,81.39721583333333,India
1940,91.33854833333335,India
1941,79.004375,India
1942,95.15725833333335,India
1943,89.39835833333335,India
1944,95.93165666666668,India
1945,91.93247166666667,India
1946,97.12966083333333,India
1947,94.76612333333334,India
1948,93.56727583333333,India
1949,94.16573916666668,India
1950,85.51594333333334,India
1951,82.54727999999999,India
1952,78.33710833333333,India
1953,89.6709825,India
1954,91.02141416666666,India
1955,99.40015749999999,India
1956,105.0206225,India
1957,80.9909425,India
1958,92.28510083333332,India
1959,100.18842000000001,India
1960,82.06292166666667,India
1961,99.80695166666665,India
1962,91.05129166666666,India
1963,90.82231166666666,India
1964,93.04037,India
1965,73.5897875,India
1966,80.26865583333333,India
1967,87.5083825,India
1968,78.95949416666666,India
1969,85.35691166666665,India
1970,99.48627416666669,India
1971,91.57667000000002,India
1972,68.71551083333333,India
1973,95.793,India
1974,80.30919249999998,India
1975,100.26710416666667,India
1976,87.08669166666665,India
1977,96.51301083333333,India
1978,96.22760333333332,India
1979,82.76858333333334,India
1980,85.009415,India
1981,92.38905083333333,India
1982,79.77324666666667,India
1983,97.82166,India
1984,82.88369999999999,India
1985,84.05256583333333,India
1986,81.87065,India
1987,76.50459166666668,India
1988,97.64798416666667,India
1989,80.8233,India
1990,100.30155500000001,India
1991,84.803275,India
1992,76.37036833333335,India
1993,83.76697166666666,India
1994,94.728335,India
1995,89.78499000000001,India
1996,86.47467499999999,India
1997,87.57958083333334,India
1998,93.98181416666667,India
1999,83.43379250000001,India
2000,81.14235999999998,India
2001,79.5375775,India
2002,71.86685250000001,India
2003,84.31582916666666,India
2004,80.83398000000001,India
2005,84.422875,India
2006,93.86046416666665,India
2007,90.93361916666667,India
2008,90.17764249999999,India
2009,78.05367916666667,India
2010,98.27754083333333,India
2011,95.91693416666668,India
2012,85.26950833333332,India
2013,100.84871166666666,India
2014,80.60858583333332,India
2015,87.51899833333334,India
2016,88.0315475,India
1901,150.9171883333333,Bhutan
1902,152.98857583333333,Bhutan
1903,161.86183250000002,Bhutan
1904,158.230945,Bhutan
1905,179.60229083333334,Bhutan
1906,146.30172249999998,Bhutan
1907,136.8214025,Bhutan
1908,148.348285,Bhutan
1909,149.21842999999998,Bhutan
1910,166.2008675,Bhutan
1911,201.66503083333336,Bhutan
1912,156.82449083333333,Bhutan
1913,180.64753416666665,Bhutan
1914,157.02690166666665,Bhutan
1915,190.24073166666668,Bhutan
1916,150.96242166666667,Bhutan
1917,170.4707516666667,Bhutan
1918,171.3164725,Bhutan
1919,159.38647749999998,Bhutan
1920,142.379315,Bhutan
1921,177.87742333333335,Bhutan
1922,168.79192666666665,Bhutan
1923,143.65236583333333,Bhutan
1924,184.93813499999996,Bhutan
1925,158.09297999999998,Bhutan
1926,136.59011166666667,Bhutan
1927,183.76685833333332,Bhutan
1928,146.65660416666665,Bhutan
1929,167.71570166666666,Bhutan
1930,155.1790566666667,Bhutan
1931,153.84258583333335,Bhutan
1932,152.63434166666664,Bhutan
1933,142.74300916666667,Bhutan
1934,198.586775,Bhutan
1935,140.59149666666667,Bhutan
1936,173.1856508333333,Bhutan
1937,145.07217749999998,Bhutan
1938,191.76576916666667,Bhutan
1939,148.51817333333335,Bhutan
1940,172.4545191666667,Bhutan
1941,158.10292666666666,Bhutan
1942,170.44843416666666,Bhutan
1943,163.62823583333332,Bhutan
1944,120.91724833333332,Bhutan
1945,167.06962833333336,Bhutan
1946,163.97073666666668,Bhutan
1947,177.3223866666667,Bhutan
1948,182.42573749999997,Bhutan
1949,164.9729616666667,Bhutan
1950,145.53037916666668,Bhutan
1951,174.9691316666667,Bhutan
1952,176.883825,Bhutan
1953,166.9061125,Bhutan
1954,160.3503425,Bhutan
1955,171.41916333333333,Bhutan
1956,155.7989075,Bhutan
1957,124.05586166666667,Bhutan
1958,135.48683083333336,Bhutan
1959,153.96295750000002,Bhutan
1960,144.6813116666667,Bhutan
1961,139.36050666666668,Bhutan
1962,173.56942416666664,Bhutan
