Rainfall - (MM), Year,Month, Country, ISO3
31.0646,1963,10, China, CHN
26.8701,1963,11, China, CHN
9.66121,1963,12, China, CHN
16.8986,1964,1, China, CHN
14.5884,1964,2, China, CHN
21.5735,1964,3, China, CHN
60.2885,1964,4, China, CHN
60.5593,1964,5, China, CHN
94.9107,1964,6, China, CHN
103.806,1964,7, China, CHN
111.456,1964,8, China, CHN
65.8852,1964,9, China, CHN
43.3306,1964,10, China, CHN
6.27338,1964,11, China, CHN
6.60691,1964,12, China, CHN
5.97041,1965,1, China, CHN
14.3239,1965,2, China, CHN
19.6849,1965,3, China, CHN
48.9426,1965,4, China, CHN
47.6061,1965,5, China, CHN
78.688,1965,6, China, CHN
105.314,1965,7, China, CHN
95.5832,1965,8, China, CHN
45.3446,1965,9, China, CHN
46.0425,1965,10, China, CHN
24.6935,1965,11, China, CHN
12.9376,1965,12, China, CHN
9.59209,1966,1, China, CHN
13.3851,1966,2, China, CHN
24.7556,1966,3, China, CHN
41.4915,1966,4, China, CHN
46.4709,1966,5, China, CHN
95.0193,1966,6, China, CHN
112.276,1966,7, China, CHN
99.4072,1966,8, China, CHN
38.8548,1966,9, China, CHN
38.466,1966,10, China, CHN
11.6908,1966,11, China, CHN
12.6067,1966,12, China, CHN
7.17452,1967,1, China, CHN
17.5163,1967,2, China, CHN
28.6944,1967,3, China, CHN
42.8255,1967,4, China, CHN
71.0954,1967,5, China, CHN
83.7413,1967,6, China, CHN
97.1948,1967,7, China, CHN
100.678,1967,8, China, CHN
60.0577,1967,9, China, CHN
21.0319,1967,10, China, CHN
28.1032,1967,11, China, CHN
5.99344,1967,12, China, CHN
9.23521,1968,1, China, CHN
11.459,1968,2, China, CHN
27.5987,1968,3, China, CHN
37.1705,1968,4, China, CHN
55.1439,1968,5, China, CHN
90.7345,1968,6, China, CHN
105.583,1968,7, China, CHN
98.7113,1968,8, China, CHN
58.1145,1968,9, China, CHN
32.2924,1968,10, China, CHN
15.7049,1968,11, China, CHN
12.4405,1968,12, China, CHN
19.861,1969,1, China, CHN
11.5023,1969,2, China, CHN
22.9622,1969,3, China, CHN
45.6465,1969,4, China, CHN
56.8957,1969,5, China, CHN
81.1727,1969,6, China, CHN
121.538,1969,7, China, CHN
111.164,1969,8, China, CHN
60.4446,1969,9, China, CHN
32.7017,1969,10, China, CHN
13.0314,1969,11, China, CHN
3.40284,1969,12, China, CHN
10.7727,1970,1, China, CHN
13.0392,1970,2, China, CHN
29.5527,1970,3, China, CHN
42.8895,1970,4, China, CHN
72.7627,1970,5, China, CHN
77.7661,1970,6, China, CHN
126.578,1970,7, China, CHN
88.4831,1970,8, China, CHN
71.7468,1970,9, China, CHN
30.5857,1970,10, China, CHN
14.1132,1970,11, China, CHN
14.8958,1970,12, China, CHN
9.04668,1971,1, China, CHN
12.7041,1971,2, China, CHN
15.32,1971,3, China, CHN
33.8134,1971,4, China, CHN
67.3835,1971,5, China, CHN
107.428,1971,6, China, CHN
95.7014,1971,7, China, CHN
99.3276,1971,8, China, CHN
63.1637,1971,9, China, CHN
32.0235,1971,10, China, CHN
12.4095,1971,11, China, CHN
13.1143,1971,12, China, CHN
7.66631,1972,1, China, CHN
19.7434,1972,2, China, CHN
20.7131,1972,3, China, CHN
37.1912,1972,4, China, CHN
63.8817,1972,5, China, CHN
78.2179,1972,6, China, CHN
92.295,1972,7, China, CHN
84.1433,1972,8, China, CHN
60.2364,1972,9, China, CHN
40.4117,1972,10, China, CHN
32.1029,1972,11, China, CHN
12.0941,1972,12, China, CHN
14.2072,1973,1, China, CHN
15.0836,1973,2, China, CHN
21.5739,1973,3, China, CHN
59.396,1973,4, China, CHN
78.7062,1973,5, China, CHN
100.812,1973,6, China, CHN
113.621,1973,7, China, CHN
102.652,1973,8, China, CHN
72.2285,1973,9, China, CHN
36.877,1973,10, China, CHN
13.5305,1973,11, China, CHN
2.08554,1973,12, China, CHN
11.6347,1974,1, China, CHN
14.7712,1974,2, China, CHN
19.9807,1974,3, China, CHN
